tract_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
40109108008,1893,572,1000,321,545,954,394,5,34,7,82,124,76,246,74,19,64,35,67,23,156,138,343,27,234,48,91,1016,717,66,23,3,68,1798,95,180,428,447,266,866,1027
40109108009,1266,310,662,294,322,596,348,1,20,13,72,97,63,128,45,20,44,8,53,20,109,124,197,17,127,24,84,690,472,50,17,0,37,1193,73,147,304,310,195,606,660
40109108010,1266,373,629,264,382,637,247,1,13,6,73,83,51,192,48,18,49,15,47,16,99,65,193,19,179,35,64,737,441,31,10,0,47,1175,91,144,278,296,175,635,631
40109108011,1549,378,841,330,457,728,364,0,24,16,60,101,53,210,65,26,41,19,60,19,159,131,230,17,181,38,99,560,881,43,16,1,48,1469,80,193,367,421,190,737,812
40109108101,1645,255,918,472,304,386,955,1,71,16,89,69,69,123,36,28,82,23,147,26,101,203,303,46,83,43,86,1394,125,27,60,2,37,1587,58,133,341,453,463,893,752
40109108106,2229,346,1264,619,459,485,1285,6,136,31,118,98,132,227,51,29,84,37,149,59,129,309,307,48,149,37,93,1985,62,37,91,0,54,2159,70,163,486,630,604,1234,995
40109108107,1360,260,619,481,277,289,794,2,79,13,55,67,75,111,25,34,70,20,99,28,83,197,173,18,102,29,80,1208,59,20,43,2,28,1326,34,99,265,369,367,753,607
40109108109,2599,450,1253,896,491,609,1499,6,172,28,97,107,120,186,47,44,138,51,210,54,138,386,399,42,187,50,137,2368,66,47,66,2,50,2527,72,182,565,683,719,1405,1194
40109108110,1805,339,921,545,379,448,978,1,71,16,75,79,98,169,29,30,70,28,129,32,112,231,272,42,132,46,143,1591,88,43,61,0,22,1743,62,114,397,485,470,981,824
40109108113,2337,667,1086,584,605,708,1024,4,100,26,111,89,88,281,53,54,127,39,135,37,147,302,292,49,235,58,110,2066,113,48,56,2,52,2170,167,177,421,558,514,1242,1095
40109108114,2202,729,946,527,572,674,956,4,109,18,75,75,90,283,48,31,111,43,135,35,137,240,293,48,264,45,118,1875,155,49,68,1,54,2108,94,125,392,490,466,1132,1070
40109108201,1822,520,869,433,462,697,663,1,58,17,87,68,69,243,37,30,71,28,109,28,119,240,239,38,199,52,89,1558,115,62,52,1,34,1711,111,156,399,414,333,942,880
40109108203,1557,493,770,294,385,727,445,1,39,6,82,70,73,197,25,21,80,23,81,20,119,196,193,27,177,48,79,1312,131,53,24,0,37,1453,104,121,347,350,246,750,807
40109108204,1359,453,675,231,383,611,365,1,31,9,81,50,51,179,32,15,51,27,77,23,131,134,169,37,175,38,48,1041,180,47,38,4,49,1216,143,131,264,300,211,660,699
40109108206,2107,401,1072,634,490,502,1115,2,115,20,85,95,67,178,58,34,102,33,164,46,136,267,304,48,174,58,121,1930,67,36,42,2,30,2025,82,138,462,591,515,1080,1027
40109108207,591,281,218,92,268,234,89,2,14,1,15,18,16,111,9,5,23,6,26,8,37,53,75,13,117,23,19,457,73,14,21,0,26,537,54,42,96,103,69,296,295
40109108208,1584,630,670,284,576,610,398,6,30,7,43,61,55,215,28,22,54,12,90,23,154,179,223,52,232,42,56,1170,234,48,73,3,56,1499,85,106,291,343,214,799,785
40109108213,3621,687,1880,1054,743,777,2101,4,259,34,191,165,185,340,80,66,193,56,275,67,207,447,498,99,237,85,133,3310,126,55,74,2,54,3479,142,306,774,955,899,1917,1704
40109108215,2452,527,1303,622,489,734,1229,2,114,22,109,110,110,259,65,46,119,49,168,49,145,351,318,29,192,53,142,2140,168,49,36,0,59,2337,115,207,553,614,551,1247,1205
40109108216,1566,400,887,279,353,545,668,0,67,14,65,90,74,161,34,20,75,24,111,26,97,189,211,32,144,51,81,1246,175,51,58,1,35,1505,61,112,313,425,316,740,826
40109108217,2389,620,1245,524,523,779,1087,7,86,7,105,101,94,281,55,48,134,39,150,39,163,320,352,43,188,42,135,2001,210,74,45,2,57,2290,99,171,503,593,502,1179,1210
40109108218,4269,833,2583,853,793,1182,2294,3,226,40,163,211,180,375,96,80,257,48,285,100,293,508,685,58,315,97,249,3385,483,86,226,2,87,4096,173,324,928,1180,1004,2128,2141
40109108219,2660,532,1661,467,507,653,1500,3,143,31,115,112,98,221,67,50,124,41,198,55,152,285,465,45,212,63,180,2180,219,75,120,0,66,2563,97,200,543,720,665,1366,1294
40109108220,2685,562,1620,503,614,783,1288,2,103,24,120,126,91,282,51,38,148,41,203,41,140,375,396,39,228,66,171,2178,261,62,110,0,74,2550,135,205,602,671,645,1306,1379
40109108221,2981,573,1896,512,587,687,1707,2,182,38,106,113,155,256,46,60,172,43,213,59,211,372,445,52,230,57,169,2522,216,59,117,0,67,2882,99,234,673,765,736,1552,1429
40109108301,959,252,506,201,305,441,213,0,22,8,34,44,42,98,14,13,32,15,29,18,100,98,178,21,119,28,46,421,466,15,25,0,32,901,58,111,233,235,128,384,575
40109108302,2444,808,1133,503,582,867,995,1,57,25,79,67,100,255,57,38,123,32,157,65,195,282,393,43,261,79,135,1801,472,47,56,1,67,2326,118,189,442,552,453,1217,1227
40109108303,2776,865,1347,564,652,938,1186,1,97,19,111,118,110,321,46,48,135,57,191,56,163,368,404,49,261,65,156,2299,239,78,81,4,75,2649,127,196,533,625,557,1354,1422
40109108304,2481,613,1258,610,599,929,953,2,80,18,126,120,78,279,59,29,93,37,171,41,177,345,325,53,233,84,131,2178,122,72,53,4,52,2358,123,204,546,612,506,1231,1250
40109108307,2397,587,1264,546,645,906,846,2,47,20,62,88,81,251,63,47,102,43,136,52,212,250,415,44,243,72,167,1235,984,58,44,2,74,2251,146,248,561,593,408,1113,1284
40109108309,1072,323,564,185,391,495,186,0,13,5,20,66,39,133,16,24,31,15,47,14,106,80,195,25,167,32,44,351,644,25,15,0,37,985,87,116,239,265,129,460,612
40109108310,1429,503,697,229,353,657,419,1,31,8,44,87,51,186,47,33,57,19,82,28,123,112,225,27,148,29,91,726,585,30,43,1,44,1337,92,135,291,302,198,689,740
40109108313,2943,1147,1382,414,838,1470,635,3,56,7,79,128,105,428,86,54,146,43,136,59,301,173,474,57,399,63,146,1607,1094,61,77,2,102,2739,204,256,568,601,371,1342,1601
40109108314,1321,469,641,211,378,680,263,0,25,7,46,63,50,189,21,30,58,22,57,30,117,81,214,30,182,40,59,801,408,30,36,2,44,1226,95,117,276,283,176,683,638
40109108315,2846,874,1471,501,603,1062,1181,1,115,19,102,137,115,365,75,52,146,53,187,70,186,242,436,44,281,67,153,2144,490,63,79,3,67,2702,144,237,547,690,498,1364,1482
40109108316,3123,619,1830,674,584,817,1722,2,138,36,105,144,138,271,85,61,157,57,219,67,216,370,509,53,232,77,186,2470,311,71,187,3,81,2973,150,260,670,791,783,1593,1530
