work_tract,home_tract,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
40109100100,40109106403,34,15,10,9,16,6,12,0,1,33
40109100100,40109106501,20,3,8,9,3,7,10,0,2,18
40109100100,40109106502,27,7,11,9,8,14,5,2,4,21
40109100100,40109106503,14,3,10,1,6,5,3,1,1,12
40109100100,40109106601,14,3,7,4,1,9,4,0,3,11
40109100100,40109106602,14,6,7,1,0,11,3,0,0,14
40109100100,40109106604,11,5,1,5,2,3,6,0,1,10
40109100100,40109106606,5,1,4,0,0,1,4,0,2,3
40109100100,40109106607,14,2,7,5,7,4,3,0,0,14
40109100100,40109106608,29,2,11,16,8,8,13,3,5,21
40109100100,40109106609,9,0,8,1,0,8,1,0,6,3
40109100100,40109106610,5,2,2,1,0,1,4,0,3,2
40109100100,40109106702,7,3,3,1,2,5,0,1,0,6
40109100100,40109106704,6,3,1,2,2,3,1,0,0,6
40109100100,40109106705,5,0,5,0,0,2,3,0,0,5
40109100100,40109106706,12,0,9,3,4,2,6,3,3,6
40109100100,40109106707,17,5,4,8,5,6,6,0,1,16
40109100100,40109106708,6,0,1,5,4,1,1,0,0,6
40109100100,40109106801,1,0,0,1,1,0,0,0,0,1
40109100100,40109106802,1,0,1,0,0,0,1,0,0,1
40109100100,40109106803,2,0,1,1,0,1,1,0,0,2
40109100100,40109106804,6,2,4,0,3,3,0,0,2,4
40109100100,40109106902,9,5,4,0,0,6,3,0,3,6
40109100100,40109106903,9,2,4,3,2,2,5,2,1,6
40109100100,40109106906,8,1,7,0,2,4,2,0,3,5
40109100100,40109106907,7,2,5,0,2,4,1,0,1,6
40109100100,40109106909,7,3,2,2,1,6,0,0,0,7
40109100100,40109106910,1,0,1,0,0,1,0,0,0,1
40109100100,40109106912,3,3,0,0,0,3,0,0,0,3
40109100100,40109106913,6,1,3,2,0,4,2,0,0,6
40109100100,40109106914,13,0,4,9,7,6,0,0,0,13
40109100100,40109106915,21,2,13,6,0,18,3,0,4,17
40109100100,40109107001,4,0,4,0,0,4,0,0,0,4
40109100100,40109107002,5,2,3,0,0,5,0,0,0,5
40109100100,40109107103,1,1,0,0,1,0,0,0,0,1
40109100100,40109107104,8,5,2,1,2,6,0,2,0,6
40109100100,40109107206,3,0,3,0,0,3,0,0,1,2
40109100100,40109107207,1,1,0,0,0,1,0,0,0,1
40109100100,40109107209,9,2,6,1,6,3,0,0,1,8
40109100100,40109107211,2,1,1,0,1,1,0,0,1,1
40109100100,40109107212,4,1,1,2,2,2,0,0,0,4
40109100100,40109107213,7,2,5,0,2,4,1,0,0,7
40109100100,40109107214,3,0,3,0,0,1,2,0,1,2
40109100100,40109107215,9,1,5,3,5,4,0,0,2,7
40109100100,40109107216,3,0,3,0,0,3,0,0,0,3
40109100100,40109107218,1,0,1,0,0,1,0,0,0,1
40109100100,40109107219,8,4,4,0,5,1,2,0,0,8
40109100100,40109107220,4,0,1,3,0,4,0,2,0,2
40109100100,40109107221,1,0,0,1,0,1,0,0,0,1
40109100100,40109107223,3,1,2,0,1,2,0,0,0,3
40109100100,40109107302,6,3,3,0,3,3,0,0,3,3
40109100100,40109107303,2,0,2,0,1,1,0,0,0,2
40109100100,40109107305,1,0,1,0,1,0,0,0,0,1
40109100100,40109107306,2,0,1,1,0,1,1,0,0,2
40109100100,40109107401,5,4,1,0,0,5,0,0,2,3
40109100100,40109107403,3,1,1,1,1,1,1,0,0,3
40109100100,40109107404,3,2,1,0,0,3,0,0,1,2
40109100100,40109107405,4,3,1,0,0,3,1,0,0,4
40109100100,40109107500,4,4,0,0,0,4,0,0,0,4
40109100100,40109107604,2,1,0,1,0,1,1,0,0,2
40109100100,40109107605,3,0,3,0,0,3,0,0,0,3
40109100100,40109107607,2,0,1,1,2,0,0,0,1,1
40109100100,40109107703,5,0,1,4,0,1,4,0,4,1
40109100100,40109107704,5,0,5,0,2,0,3,0,0,5
40109100100,40109107705,1,1,0,0,0,1,0,0,0,1
40109100100,40109107706,5,2,3,0,0,4,1,0,0,5
40109100100,40109107801,2,1,1,0,1,1,0,0,0,2
40109100100,40109107804,2,1,1,0,1,1,0,0,0,2
40109100100,40109107805,2,0,2,0,1,1,0,0,0,2
40109100100,40109107806,2,0,2,0,0,0,2,0,0,2
40109100100,40109107807,2,0,1,1,0,0,2,0,0,2
