"work_tract","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate"
"40071000300",594,165,281,148,199,295,100,0,24,0,11,13,27,34,0,8,17,4,12,1,20,18,177,82,78,13,55,495,24,42,8,0,25,551,43,47,143,135,104,236,358,0,0,0,0,0,0,0,0,0,0,383247461
"40071000400",2611,533,1395,683,573,1028,1010,0,6,76,158,259,20,169,3,90,110,10,156,0,39,741,309,43,157,73,192,2272,121,105,22,4,87,2479,132,223,658,721,476,1264,1347,0,0,0,0,0,0,0,0,0,0,1129571464
"40071000500",534,147,256,131,209,228,97,0,0,0,18,0,11,26,19,5,12,32,10,0,25,0,98,113,29,67,69,445,30,37,3,0,19,502,32,40,122,133,92,218,316,0,0,0,0,0,0,0,0,0,0,584956651
"40071000600",2703,487,1553,663,279,714,1710,5,164,0,590,487,110,17,107,29,2,9,148,735,65,41,0,6,6,44,138,2275,81,227,22,0,98,2477,226,249,795,765,407,2064,639,0,0,0,0,0,0,0,0,0,0,1069058707
"40071001100",1600,399,807,394,430,767,403,10,90,6,104,90,52,117,10,6,25,6,108,0,107,301,73,235,97,10,153,1312,33,191,10,1,53,1492,108,152,410,416,223,823,777,0,0,0,0,0,0,0,0,0,0,1048887788
"40071001200",1788,410,893,485,267,1129,392,14,4,3,151,50,27,29,125,3,29,5,32,0,26,172,18,564,54,9,473,1488,30,199,13,1,57,1679,109,197,476,433,272,867,921,0,0,0,0,0,0,0,0,0,0,1028716869
"40071001301",950,229,491,230,275,382,293,2,115,0,25,168,54,125,11,11,55,8,34,0,18,0,158,11,82,12,61,828,24,59,9,4,26,889,61,102,267,238,114,545,405,0,0,0,0,0,0,0,0,0,0,806836760
"40071001302",1051,225,532,294,283,388,380,5,62,76,22,8,29,102,100,20,26,2,0,7,27,258,93,0,184,18,12,959,14,40,11,0,27,984,67,122,262,255,187,486,565,0,0,0,0,0,0,0,0,0,0,1008545950
"40073958100",1827,367,996,464,325,682,820,282,682,0,58,51,54,105,127,18,32,0,19,0,31,143,70,0,100,21,34,1676,65,30,22,2,32,1494,333,281,512,436,231,1146,681,0,0,0,0,0,0,0,0,0,0,1290938816
"40073958200",536,131,277,128,102,188,246,5,132,3,136,21,67,13,52,0,10,6,8,0,0,68,0,0,1,14,0,481,20,20,5,1,9,437,99,88,128,126,63,371,165,0,0,0,0,0,0,0,0,0,0,645469408
"40073958300",2868,644,1526,698,626,1203,1039,8,186,64,133,25,117,397,118,536,123,21,118,0,41,207,331,27,198,64,154,2618,86,85,22,3,54,2665,203,260,704,779,481,1485,1383,0,0,0,0,0,0,0,0,0,0,1654015358
"40073958400",798,179,384,235,107,304,387,10,39,14,39,338,3,97,13,0,49,1,4,0,7,45,57,0,18,40,24,719,32,19,10,0,18,749,49,82,230,213,94,569,229,0,0,0,0,0,0,0,0,0,0,665640327
"40075963600",159,15,90,54,26,68,65,3,32,1,0,0,13,24,2,0,12,3,2,0,0,47,6,0,0,5,9,137,2,13,0,0,7,149,10,7,52,54,31,80,79,0,0,0,0,0,0,0,0,0,0,342905623
"40075963700",1365,242,712,411,418,545,402,31,10,20,47,236,71,170,5,14,57,3,22,0,12,99,389,11,41,30,97,1194,73,54,20,0,24,1245,120,159,361,391,212,583,782,0,0,0,0,0,0,0,0,0,0,1391793411
"40075964200",491,93,226,172,163,185,143,7,30,9,31,0,39,28,30,0,36,9,13,0,0,109,96,0,12,1,41,448,16,15,1,0,11,456,35,38,135,136,89,230,261,0,0,0,0,0,0,0,0,0,0,847178598
"40077087100",214,47,131,36,60,102,52,7,41,0,4,0,13,34,6,0,8,0,12,0,0,43,37,0,2,0,7,156,7,37,3,2,9,196,18,19,61,60,27,98,116,0,0,0,0,0,0,0,0,0,0,423589299
"40077087200",2495,463,1404,628,533,1016,946,10,161,66,253,271,24,218,280,12,49,19,71,0,65,459,261,16,115,13,132,1994,49,342,15,0,95,2387,108,277,687,682,386,1377,1118,0,0,0,0,0,0,0,0,0,0,1129571464
"40077087300",322,72,181,69,51,173,98,0,0,3,20,0,0,25,0,0,0,0,21,0,0,36,207,0,0,1,9,241,15,47,0,2,17,312,10,29,80,100,41,106,216,0,0,0,0,0,0,0,0,0,0,181538271
"40079040102",2060,577,1128,355,512,906,642,2,543,16,67,162,9,81,65,0,21,1,79,0,64,140,96,614,32,32,36,1585,60,287,36,1,91,1910,150,202,513,515,253,1263,797,0,0,0,0,0,0,0,0,0,0,786665841
"40079040198",315,77,177,61,68,126,121,3,31,0,1,58,13,7,0,0,13,3,9,0,3,46,82,4,0,0,42,275,8,17,4,1,10,303,12,22,88,80,48,171,144,0,0,0,0,0,0,0,0,0,0,262221947
"40079040299",885,262,464,159,265,326,294,11,3,23,287,0,15,104,15,3,47,5,59,0,8,137,115,0,33,0,20,699,37,106,4,0,39,840,45,81,198,211,133,473,412,0,0,0,0,0,0,0,0,0,0,685811246
"40079040301",697,132,397,168,138,263,296,0,91,96,62,53,24,42,93,4,1,0,16,0,107,43,11,0,3,26,25,577,7,72,7,1,33,662,35,74,204,191,96,536,161,0,0,0,0,0,0,0,0,0,0,806836760
