FID,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
2721,401091060002021,14,1,8,5,2,3,9,0,1,0,1,0,0,0,0,0,2,1,1,0,1,1,2,1,0,1,2,10,4,0,0,0,0,14,0,0,6,4,3,3,11,20170919
2722,401091060002022,6,0,2,4,0,1,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,1,0,0,0,0,6,0,0,3,2,1,3,3,20170919
2723,401091060002023,10,0,3,7,1,2,7,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,6,3,0,0,0,1,10,0,0,4,3,3,5,5,20170919
2724,401091060002026,53,7,25,21,17,18,18,0,2,1,0,3,1,8,4,0,2,1,0,0,9,2,4,1,7,1,7,10,35,0,8,0,0,53,0,5,12,22,7,25,28,20170919
2725,401091060002027,11,2,7,2,4,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,2,0,2,0,1,4,6,1,0,0,0,11,0,4,0,3,2,4,7,20170919
2726,401091060002028,7,1,4,2,1,2,4,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,6,0,0,0,0,7,0,1,1,4,0,4,3,20170919
2727,401091060002029,3,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,3,0,0,1,1,1,1,2,20170919
2728,401091060002030,4,1,3,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,3,2,1,0,0,4,0,20170919
2729,401091060002031,58,8,33,17,11,23,24,0,3,1,0,4,2,2,1,0,2,2,4,2,11,5,5,1,7,1,5,21,31,0,3,0,3,57,1,6,12,17,15,30,28,20170919
2730,401091060002032,22,6,12,4,6,7,9,0,1,2,0,3,2,2,1,0,1,0,0,0,1,1,4,0,2,1,1,13,9,0,0,0,0,22,0,1,4,8,3,12,10,20170919
2731,401091060002033,19,4,8,7,6,6,7,0,0,0,1,0,0,2,1,0,1,0,0,0,2,4,3,0,0,0,5,2,16,0,0,0,1,18,1,1,5,5,4,11,8,20170919
2732,401091060002034,11,3,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,1,2,8,0,1,0,0,11,0,0,2,4,2,3,8,20170919
2733,401091060002039,19,0,12,7,3,6,10,0,0,1,0,0,1,2,1,0,0,0,1,0,2,4,4,0,0,0,3,11,7,0,1,0,0,19,0,2,6,5,6,9,10,20170919
2734,401091060002040,5,3,1,1,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,2,0,0,0,0,4,1,0,1,0,1,3,2,20170919
2735,401091060003000,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,20170919
2736,401091060003001,21,5,7,9,10,9,2,0,0,0,0,1,1,3,0,0,1,1,0,0,0,2,7,0,2,0,3,6,11,3,0,0,1,21,0,2,2,7,5,10,11,20170919
2737,401091060003002,21,6,9,6,6,9,6,1,0,0,0,0,1,4,0,1,0,0,1,0,0,3,4,0,3,0,3,6,14,0,0,0,1,20,1,1,6,6,2,7,14,20170919
2738,401091060003003,8,2,4,2,3,1,4,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,7,1,0,0,0,0,8,0,0,2,3,1,5,3,20170919
2739,401091060003004,36,11,13,12,11,8,17,1,1,0,1,4,1,5,0,0,3,1,2,1,1,0,7,1,4,0,3,17,15,0,0,0,4,35,1,9,6,8,2,20,16,20170919
2740,401091060003005,14,2,7,5,4,3,7,0,0,0,0,0,1,0,1,0,0,0,1,0,3,2,2,1,3,0,0,5,5,4,0,0,0,14,0,1,4,3,4,6,8,20170919
2741,401091060003006,14,1,8,5,2,6,6,0,0,0,1,1,0,4,1,0,0,1,1,0,0,1,0,1,0,0,3,6,8,0,0,0,0,11,3,4,1,3,5,9,5,20170919
2742,401091060003007,15,4,6,5,2,4,9,0,0,0,1,0,0,1,1,0,1,0,1,1,2,1,1,0,2,0,3,6,7,0,2,0,0,15,0,2,2,2,5,10,5,20170919
